 ; ; Trident ; EdgeHTML ; Gecko ; WebKit ; KHTML ; Presto 
 dotted=no ; animation-delay ; 10.0 ; 12 ; 16.0publisher=Mozilla ; Experimental ; 2.12 
 dotted=no ; animation-direction ; 10.0 ; 12 ; 16.0publisher=Mozilla ; Experimental ; 2.12 
 dotted=no ; animation-duration ; 10.0 ; 12 ; 16.0publisher=Mozilla ; Experimental ; 2.12 
 dotted=no ; animation-iteration-count ; 10.0 ; 12 ; 16.0publisher=Mozilla ; Experimental ; 2.12 
 dotted=no ; animation-name ; 10.0 ; 12 ; 16.0publisher=Mozilla ; Experimental ; 2.12 
 dotted=no ; animation-play-state ; 10.0 ; 12 ; 16.0publisher=Mozilla ; Experimental ; 2.12 
 dotted=no ; animation-timing-function ; 10.0 ; 12 ; 16.0publisher=Mozilla ; Experimental ; 2.12 
 dotted=no ; animation-fill-mode ; 10.0 ; 12 ; 16.0publisher=Mozilla ; Experimental ; 2.12 
 Transforms ; Transforms ; Transforms ; Transforms ; Transforms ; Transforms ; Transforms ; Transforms 
 dotted=no 
 dotted=no ; transform ; 10.0 ; 12 ; 16.0 ; Experimental ; rowspan="6" no ; 2.12 
 dotted=no ; transform-origin ; 10.0 ; 12 ; 16.0 ; Experimental ; 2.12 
 dotted=no ; transform-style ; 10.0 ; 12 ; 16.0 ; Experimental ; rowspan="4" no 
 dotted=no ; perspective ; 10.0 ; 12 ; 16.0 ; Experimental 
 dotted=no ; perspective-origin ; 10.0 ; 12 ; 16.0 ; Experimental 
 dotted=no ; backface-visibility ; 10.0 ; 12 ; 16.0 ; Experimental 
 Transitions ; Transitions ; Transitions ; Transitions ; Transitions ; Transitions ; Transitions ; Transitions 
 dotted=no 
 dotted=no ; transition-property ; 10.0 ; 12 ; 16.0publisher=Mozilla ; Experimental ; rowspan="5" no ; rowspan="5" table-experimental 
 dotted=no ; transition-duration ; 10.0 ; 12 ; 16.0publisher=Mozilla ; Experimental 
 dotted=no ; transition-timing-function ; 10.0 ; 12 ; 16.0publisher=Mozilla ; Experimental 
 dotted=no ; transition-delay ; 10.0 ; 12 ; 16.0publisher=Mozilla ; Experimental 
 dotted=no ; transition ; 10.0 ; 12 ; 16.0publisher=Mozilla ; Experimental 
 Flexible Box Layout ; Flexible Box Layout ; Flexible Box Layout ; Flexible Box Layout ; Flexible Box Layout ; Flexible Box Layout ; Flexible Box Layout ; Flexible Box Layout 
 dotted=no 
 dotted=no ; flex ; 11.0 ; 12 ; 22.0publisher=Mozilla ; 9.0publisher=MDN ; rowspan="8" no ; 2.12 
 dotted=no ; flex-basis ; 11.0 ; 12 ; 22.0publisher=Mozilla ; 9.0publisher=MDN ; no 
 dotted=no ; flex-direction ; 11.0 ; 12 ; 22.0publisher=Mozilla ; 9.0publisher=MDN ; 2.12 
 dotted=no ; flex-flow ; 11.0 ; 12 ; 28.0 ; 9.0publisher=MDN ; no 
 dotted=no ; flex-grow ; 11.0 ; 12 ; 22.0 ; 9.0publisher=MDN ; 2.12 
 dotted=no ; flex-shrink ; 11.0 ; 12 ; 22.0 ; 9.0publisher=MDN ; no 
 dotted=no ; flex-wrap ; 11.0 ; 12 ; 28.0 ; 9.0publisher=MDN ; no 
